2, ,0, ,1, , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,
2, , , , , , ,2, ,2, , , , , , , ,2,2, , , , , , , , ,5,5, , , , , ,5, , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,2,2,2,2,2, ,2,2,2, , ,2,2,2, ,2, ,2, ,2, ,2, ,5, , ,2,2, , , ,2, , , , ,2,2, , , ,3,3,3,3,3,3,3, , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
2, , , , , , , ,4, , , ,3,3, , , , , ,2, ,2, ,2, ,2,2,2,2, , ,2,2,2, ,2,2,2,2, , ,2,2,2, , , , , , ,4,4,4,4,4,4,4,4,4, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, , , ,7, , , ,2,2,2, , , ,5,5, , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
2, , ,2,2,2,2, , , , , , , , , , ,6,6, , ,8, , , , ,5,5, , ,6,6, ,2, ,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
2, , , , , , , , , , , , , , , , , , , ,2,2,2, , , , , , , , , , , , , , ,4,4,4,4, , , ,2,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2, , , , , , , , , , , , , ,2, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , ,2, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
